126	    0.929475    1.331157    1.879960    2.654063    3.695291    4.977512    6.068708    5.723696    4.603752    3.953952
127	    0.825081    1.180628    1.659496    2.343902    3.261498    4.362000    5.278294    4.935793    3.922654    3.456178
128	    0.880356    1.347315    2.143341    3.172259    4.862120    7.343441    9.567260    9.944339    8.922665    9.501823
129	    0.880356    1.347315    2.143341    3.172259    4.862120    7.343441    9.567260    9.944339    8.922665    9.501823
13	    0.394896    0.576222    0.862454    1.288532    1.884022    2.584729    2.973572    2.954992    2.400360    2.506335
130	    0.880356    1.347315    2.143341    3.172259    4.862120    7.343441    9.567260    9.944339    8.922665    9.501823
131	    0.781276    1.135198    1.620626    2.326881    3.298099    4.498355    5.587539    5.514965    4.703880    3.906333
132	    0.229888    0.320232    0.508963    0.809866    1.317601    2.117674    2.651448    3.005875    3.115896    3.267466
135	    0.056099    0.075986    0.104508    0.136471    1.220185    2.136088    4.766574    6.321290    7.235040    6.553417
138	    0.141488    0.213022    0.334159    0.519584    0.773811    1.096866    3.506567    4.708729    5.410028    4.981415
139	    0.149681    0.226074    0.351329    0.549744    0.811571    1.142380    3.830188    5.149234    5.907084    5.435964
14	    0.394896    0.576222    0.862454    1.288532    1.884022    2.584729    2.973572    2.954992    2.400360    2.506335
140	    0.144932    0.222124    0.358937    0.665251    1.002035    1.503339    2.222082    3.032307    3.575184    3.408035
141	    0.208094    0.319014    0.511030    0.885452    1.344991    2.018129    2.987284    4.084646    4.825375    4.634744
142	    0.877959    1.348462    2.148499    3.516840    5.432625    8.295584   32.960789   43.977188   50.148273   46.315842
145	    0.208094    0.319014    0.511030    0.885452    1.344991    2.018129    2.987284    4.084646    4.825375    4.634744
147	    0.187561    0.290066    0.485499    0.871074    1.310446    1.967757    2.913425    3.988200    4.716384    4.513817
148	    0.187561    0.290066    0.485499    0.871074    1.310446    1.967757    2.913425    3.988200    4.716384    4.513817
149	    0.206175    0.311093    0.606623    1.363352    2.663044    3.836825    5.452579    7.451283    8.789554    8.481503
15	    0.394896    0.576222    0.862454    1.288532    1.884022    2.584729    2.973572    2.954992    2.400360    2.506335
151	    0.374578    0.552208    0.917856    1.616161    2.451786    3.688205    5.456725    7.467193    8.844227    8.509530
153	    0.374959    0.551655    0.899026    1.517676    2.311026    3.475446    5.142796    7.038195    8.362150    8.051847
154	    0.380343    0.549747    0.879820    1.472640    2.214789    3.322672    4.911739    6.735384    7.959793    7.628558
159	    0.038670    0.053293    0.103272    0.261223    1.663155    3.667189    5.141637    6.880969    8.135948    7.764977
